Index,Histogram,band_1_mean,band_1_std,band_2_mean,band_2_std,band_3_mean,band_3_std
1033.000, 190.000, 147.232,  15.654, 135.637,  14.657, 127.084,  14.744
1034.000,10208.000, 104.278,  12.843,  95.702,  11.244,  91.615,  11.221
1035.000,11833.000,  84.302,  11.654,  80.715,  11.134,  76.266,  11.126
1036.000,13515.000, 106.912,  11.026, 101.018,  10.238,  93.138,  10.137
1037.000,24975.000,  86.005,   8.779,  87.981,   8.600,  79.168,   8.559
1038.000,   2.000,  12.500,   1.500,   6.000,   0.000,   2.500,   0.500
1039.000,  11.000,  58.545,   9.149,  43.455,   9.049,  46.273,   8.874
1040.000,12044.000, 108.639,  11.497, 103.134,  10.581,  94.419,  10.523
1041.000,23560.000,  93.026,   9.969,  90.399,   9.216,  83.363,   9.269
1042.000,   4.000,  54.000,  15.116,  46.000,  15.116,  44.000,  15.116
1043.000,   7.000,  26.714,  10.819,  20.429,  10.755,  25.286,  11.003
